,Survived Name,Not Survived Name
0,"Peltomaki, Mr. Nikolai Johannes","Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)"
1,"Franklin, Mr. Thomas Parham","Stengel, Mrs. Charles Emil Henry (Annie May Morris)"
2,"Goldsmith, Mr. Nathan","Thomas, Mrs. Alexander (Thamine Thelma"")"""
3,"Vendel, Mr. Olof Edvin","Evans, Miss. Edith Corse"
4,"Hee, Mr. Ling","Lindstrom, Mrs. Carl Johan (Sigrid Posse)"
5,"Sweet, Mr. George Frederick","Douglas, Mrs. Walter Donald (Mahala Dutton)"
6,"Hocking, Mr. Samuel James Metcalfe","Chapman, Mrs. John Henry (Sara Elizabeth Lawry)"
7,"Everett, Mr. Thomas James","Hiltunen, Miss. Marta"
8,"Lockyer, Mr. Edward","Corbett, Mrs. Walter H (Irene Colvin)"
9,"Pedersen, Mr. Olaf","Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)"
10,"Sage, Master. William Henry","Fortune, Mrs. Mark (Mary McDougald)"
11,"Howard, Mr. Benjamin","Willard, Miss. Constance"
12,"Strilic, Mr. Ivan","Rosenbaum, Miss. Edith Louise"
13,"Cotterill, Mr. Henry Harry""""","Becker, Mrs. Allen Oliver (Nellie E Baumgardner)"
14,"Caldwell, Mr. Albert Francis","Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)"
15,"Harbeck, Mr. William H","Ware, Mrs. John James (Florence Louise Long)"
16,"Head, Mr. Christopher","Kink, Miss. Maria"
17,"Moore, Mr. Clarence Bloomfield","Dodge, Mrs. Washington (Ruth Vidaver)"
18,"Wick, Mr. George Dennick","Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)"
19,"Thomson, Mr. Alexander Morrison","Abelseth, Miss. Karen Marie"
20,"Reynolds, Mr. Harold J","Davidson, Mrs. Thornton (Orian Hays)"
21,"Betros, Master. Seman","Walcroft, Miss. Nellie"
22,"Wiklund, Mr. Karl Johan","Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)"
23,"Stengel, Mr. Charles Emil Henry","Dean, Miss. Elizabeth Gladys Millvina"""""
24,"Compton, Mr. Alexander Taylor Jr","Brown, Mrs. John Murray (Caroline Lane Lamson)"
25,"Spedden, Master. Robert Douglas","Bonnell, Miss. Caroline"
26,"Astor, Col. John Jacob","Wilkes, Mrs. James (Ellen Needs)"
27,"Omont, Mr. Alfred Fernand","Henriksson, Miss. Jenny Lovisa"
28,"Cumings, Mr. John Bradley","Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)"
29,"Warren, Mr. Frank Manley","Risien, Mrs. Samuel (Emma)"
30,"Baccos, Mr. Raffull","Peacock, Miss. Treasteall"
31,"Thomas, Mr. Charles P","Riihivouri, Miss. Susanna Juhantytar Sanni"""""
32,"Daher, Mr. Shedid","Sage, Mrs. John (Annie Bullen)"
33,"Pallas y Castello, Mr. Emilio","Snyder, Mrs. John Pillsbury (Nelle Stevenson)"
34,"Frauenthal, Mr. Isaac Gerald","Oreskovic, Miss. Jelka"
35,"Nourney, Mr. Alfred (Baron von Drachstedt"")""","Brown, Miss. Edith Eileen"
36,"Widener, Mr. George Dunton","Sincock, Miss. Maude"
37,"Khalil, Mr. Betros","Hirvonen, Mrs. Alexander (Helga E Lindqvist)"
38,"Elias, Mr. Joseph","McNamee, Mrs. Neal (Eileen O'Leary)"
39,"Thomas, Mr. Tannous","Herman, Miss. Kate"
40,"Portaluppi, Mr. Emilio Ilario Giuseppe","Badman, Miss. Emily Louisa"
41,"McCaffry, Mr. Thomas Francis","Lines, Mrs. Ernest H (Elizabeth Lindsey James)"
42,"Karlsson, Mr. Einar Gervasius","Smith, Mrs. Lucien Philip (Mary Eloise Hughes)"
43,"Dintcheff, Mr. Valtcho","Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)"
44,"Minkoff, Mr. Lazar","Hansen, Mrs. Claus Peter (Jennie L Howard)"
45,"Johnston, Master. William Arthur Willie""""","Dean, Mrs. Bertram (Eva Georgetta Light)"
46,"Pokrnic, Mr. Mate","Rosblom, Miss. Salli Helena"
47,"Warren, Mr. Charles William","Goodwin, Miss. Jessie Allis"
48,"Dulles, Mr. William Crothers","Fortune, Miss. Ethel Flora"
